2025-08-06 10:38:25 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 51760
2025-08-06 10:38:25 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2025-08-06 10:38:25 0 [Note] InnoDB: Uses event mutexes
2025-08-06 10:38:25 0 [Note] InnoDB: Compressed tables use zlib 1.3
2025-08-06 10:38:25 0 [Note] InnoDB: Number of pools: 1
2025-08-06 10:38:25 0 [Note] InnoDB: Using SSE2 crc32 instructions
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=328] with future log sequence number 15837214
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=406] with future log sequence number 15837154
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=299] with future log sequence number 16361219
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=390] with future log sequence number 16361219
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=298] with future log sequence number 16360932
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=361] with future log sequence number 16360932
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=297] with future log sequence number 16349738
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=314] with future log sequence number 16349738
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=287] with future log sequence number 16338069
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=301] with future log sequence number 16338069
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=286] with future log sequence number 16338025
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=349] with future log sequence number 16338025
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=285] with future log sequence number 16337981
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=371] with future log sequence number 16337981
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=284] with future log sequence number 16337937
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=428] with future log sequence number 16337937
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=283] with future log sequence number 16337877
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=340] with future log sequence number 16337877
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=246] with future log sequence number 18375381
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=5] with future log sequence number 18375541
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=321] with future log sequence number 18375381
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=245] with future log sequence number 18372379
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=1, page number=3] with future log sequence number 18375401
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=410] with future log sequence number 18372379
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=3] with future log sequence number 18371961
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=136] with future log sequence number 18427977
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=284] with future log sequence number 18427956
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=428] with future log sequence number 18427956
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=283] with future log sequence number 18427078
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=234] with future log sequence number 18576574
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=402] with future log sequence number 18576574
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=233] with future log sequence number 18576530
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=204] with future log sequence number 18886690
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=214] with future log sequence number 18886627
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=5] with future log sequence number 18886669
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=319] with future log sequence number 18886627
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=213] with future log sequence number 18886356
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=408] with future log sequence number 18880777
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=342] with future log sequence number 18880777
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=316] with future log sequence number 18886356
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=212] with future log sequence number 18875016
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=314] with future log sequence number 18875016
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=211] with future log sequence number 18863826
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=434] with future log sequence number 18863826
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=210] with future log sequence number 18852621
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=421] with future log sequence number 18852621
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=209] with future log sequence number 18841159
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=393] with future log sequence number 18841159
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=208] with future log sequence number 18829950
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=331] with future log sequence number 18829950
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=207] with future log sequence number 18818741
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=324] with future log sequence number 18818741
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=206] with future log sequence number 18807545
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=378] with future log sequence number 18807545
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=205] with future log sequence number 18796301
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=344] with future log sequence number 18796301
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=204] with future log sequence number 18785434
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=336] with future log sequence number 18785434
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=5] with future log sequence number 18774378
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=203] with future log sequence number 18774218
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=322] with future log sequence number 18846848
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=326] with future log sequence number 18774218
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=202] with future log sequence number 18770993
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=1, page number=3] with future log sequence number 18774238
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=376] with future log sequence number 18770993
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=201] with future log sequence number 18770509
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=312] with future log sequence number 18770509
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=199] with future log sequence number 18770263
2025-08-06 10:38:25 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=86, page number=4] with future log sequence number 18770519
